KeyLexemes	ConstrIndex	PlaceC	Phrase	Form	Role	ExIndex
бесить,взбесить	1074	2	еще больше	ADV	степень	43424
бесить,взбесить	1074	1	особенно	ADV	степень	43425
бесить,взбесить	1074	2	до исступленной злобы	до + Sgen	степень	43428
бесить,взбесить	1074	1	действительно	ADV	точность	43435
бесить,взбесить	1074	1	Сейчас	ADV	время	43440
бесить,взбесить	1074	1	буквально	ADV	точность	43449
бесить,взбесить	1074	1	как	ADV	степень	43450
бесить,взбесить	1074	1	Особенно	ADV	степень	43457
бесить,взбесить	1074	1	теперь	ADVPRO	время	43460
бесить,взбесить	1074	1	так	ADV	степень	43473
бесить,взбесить	1074	1	больше всего	ADV	степень	43474
бесить,взбесить	1074	1	Как	ADV	степень	43475
бесить,взбесить	1074	1	иногда	ADV	узуальность	43476
бесить,взбесить	1074	1	так же сильно	ADV	интенсивность	43806
бесить,взбесить	1074	1	В сорокалетних богатых мужчинах	в + Sloc	сфера	43809
беситься	16420	4	раньше	ADV	время	41717
беситься,беситься	11642	1	там	ADV	место	41714
беситься,беситься	11644	2	как	ADV	степень	41718
беситься,беситься,беситься,взбеситься,взбеситься,взбеситься	1077	1	всю ночь	Sacc	длительность	41707
беситься,беситься,взбеситься,взбеситься	1077	1	в Москве	в + Sloc	место	36832
беситься,беситься,взбеситься,взбеситься	1077	1	так	ADV	степень	41659
беситься,беситься,взбеситься,взбеситься	1077	1	целое тысячелетие	Sacc	длительность	41666
беситься,беситься,взбеситься,взбеситься	1077	1	еще больше	ADV	степень	41673
беситься,беситься,взбеситься,взбеситься	1077	1	отчего	ADV	причина	41676
беситься,беситься,взбеситься,взбеситься	1077	1	всячески	ADV	степень	41691
беситься,беситься,взбеситься,взбеситься	1080	2	до того	до + Sgen	время — предел	36840
беситься,взбеситься	1077	1	иногда	ADV	узуальность	36842
беситься,взбеситься	1077	1	Вторые сутки, как приехали,	Sacc	длительность	41655
беситься,взбеситься	1077	1	по поводу выбора, который делает человек, оставшийся один на один, без помощи, без надежды...	по + Sdat	причина	41660
беситься,взбеситься	1077	1	потому что требую от них большего	потому + что + CL	причина	41672
беситься,взбеситься	1077	1	тихо	ADV	образ действия	41675
беситься,взбеситься	1077	1	сначала	ADV	фаза	41686
беситься,взбеситься	1077	1	вовсю	ADV	степень	41697
беситься,взбеситься	1077	1	в ней	в + Sloc	место	41705
беситься,взбеситься	1077	1	тогда	ADV	время	41708
беситься,взбеситься	1077	1	потом	ADV	последовательность	41711
беситься,взбеситься	1077	1	уже там	ADV	место	41713
беситься,взбеситься	1077	1	страшно	ADV	степень	41716
беситься,взбеситься	1078	1	в этом прошлом	в + Sloc	время	41645
беситься,взбеситься	1078	1	поэтому	ADV	причина	41694
беситься,взбеситься	1079	1	в глубине души	в + Sloc	место	41664
беситься,взбеситься	1079	1	так	ADV	степень	41677
беситься,взбеситься	1079	1	Иногда	ADV	узуальность	41693
беситься,взбеситься	1080	1	на Ерофея Мученика	на + Sacc	время	41635
беситься,взбеситься	1080	1	На крыше управления	на + Sloc 	место	41642
беситься,взбеситься	1080	1	вокруг	ADV	место	41643
беситься,взбеситься	1080	2	на здоровье	на + Sacc	степень	41657
беситься,взбеситься	1080	1	по причине трезвости	по + Sdat	причина	41678
беситься,взбеситься	1080	1	До рассвета	до + Sgen	длительность - предел	41682
беситься,взбеситься	1080	1	у плетня	у + Sgen	место	41696
беситься,взбеситься	1080	1	на все лады	на + Sacc	степень	41704
беситься,взбеситься	1080	1	на рисовании	на + Sloc 	фоновая ситуация	41709
беспокоить	1087	1	попросту	ADV		36846
беспокоить	11615	1	особенно	ADV	степень	36853
беспокоить	11615	1	Первое время	Sacc	фаза	40713
беспокоить	11615	1	сегодня	ADV	время	40724
беспокоить,беспокоить,обеспокоить,обеспокоить	1081	1	только ради неё, или игрека, или зета	ради + Sgen	цель	36867
беспокоить,беспокоить,обеспокоить,обеспокоить	1081	1	До моей женитьбы на Гале	до + Sgen	длительность - предел	36872
беспокоить,беспокоить,побеспокоить,побеспокоить	1085	1	Зачем	ADV	причина	36887
беспокоить,беспокоить,побеспокоить,побеспокоить	1085	2	дома	ADV	место	40715
беспокоить,беспокоить,побеспокоить,побеспокоить	1086	2	часто	ADV	частота	36870
беспокоить,обеспокоить	1081	1	всерьёз	ADV	степень	36856
беспокоить,обеспокоить	1081	1	Больше всего	ADV	степень	36858
беспокоить,обеспокоить	1081	1	сильно	ADV	степень	36868
беспокоить,обеспокоить	1081	1	или нет	PART	отрицание	36869
беспокоить,обеспокоить	1081	2	в ближайшие несколько недель	в + Sacc	время	36874
беспокоить,обеспокоить	1081	1	Последнее время	Sacc	время	36876
беспокоить,обеспокоить	1081	1	всего более	ADV	степень	36883
беспокоить,обеспокоить	1081	1	мало	ADV	степень	36894
беспокоить,обеспокоить	1081	1	так	ADV	степень	36896
беспокоить,обеспокоить	1081	1	больше	ADV	точность	36906
беспокоить,обеспокоить	1081	1	несколько	ADV	степень	36907
беспокоить,обеспокоить	1081	1	больше всего	ADV	степень	36908
беспокоить,обеспокоить	1081	1	обычно	ADV	узуальность	36915
беспокоить,обеспокоить	1081	1	в том виде, в каком его излагает г-н Стариков	в + Sloc	образ действия	40709
беспокоить,обеспокоить	1081	2	постоянно	ADV	узуальность	40730
беспокоить,обеспокоить	1084	2	очень	ADV	степень	36888
беспокоить,обеспокоить	1084	1	очень	ADV	степень	40710
беспокоить,побеспокоить	1085	1	отлично	ADV	усиление	36889
беспокоить,побеспокоить	1085	1	имея разные вкусы	Vger	сопутствующая ситуация	36900
беспокоить,побеспокоить	1085	2	вплоть до самого окончания плей-офф	до + Sgen	длительность - предел	36910
беспокоиться	11776	1	смутно	ADV	степень	42993
беспокоиться,беспокоиться,обеспокоиться,обеспокоиться	1092	1	почему-то	ADV	причина	36919
беспокоиться,беспокоиться,побеспокоиться,побеспокоиться	1095	2	больше	ADV	степень	42986
беспокоиться,обеспокоиться	1088	1	ужасно	ADV	степень	36927
беспокоиться,обеспокоиться	1088	1	всё	PART	длительность	36959
беспокоиться,обеспокоиться	1088	1	особенно	ADV	степень	36970
беспокоиться,обеспокоиться	1088	1	к чему	к + Sdat	причина	42965
беспокоиться,обеспокоиться	1088	1	особенно	ADV	степень	42976
беспокоиться,обеспокоиться	1088	1	особенно	ADV	степень	42982
беспокоиться,обеспокоиться	1088	2	во время занятия	в + Sacc	время	42995
беспокоиться,обеспокоиться	1088	1	в одиночку	в + Sloc	способ	43002
беспокоиться,обеспокоиться	1090	1	Это	NULL	NULL	40700
беспокоиться,обеспокоиться	1090	1	не очень	ADV	степень	42971
беспокоиться,обеспокоиться	1090	1	как	ADV	степень	42972
беспокоиться,обеспокоиться	1090	1	Больше всего	ADV	степень	42992
беспокоиться,обеспокоиться	1090	2	тогда	ADV	время	43000
беспокоиться,обеспокоиться	1091	1	единственно	ADV	вводное	36923
беспокоиться,обеспокоиться	1091	1	не так	ADV	степень	36941
беспокоиться,обеспокоиться	1091	1	во Франкфурте	в + Sloc	место	36942
беспокоиться,обеспокоиться	1091	1	очень	ADV	степень	36966
беспокоиться,обеспокоиться	1091	1	как	ADV	степень	36968
беспокоиться,обеспокоиться	1091	1	больше	NULL	NULL	40708
беспокоиться,обеспокоиться	1091	1	Многовато	ADV	степень	42977
беспокоиться,обеспокоиться	1092	1	всё время	Sacc	длительность	36960
беспокоиться,обеспокоиться	1092	1	Напрасно	ADV	цель	42978
беспокоиться,обеспокоиться	1092	1	очень	ADV	степень	42979
беспокоиться,побеспокоиться	1095	1	до тех пор	до + Sgen	длительность - предел	36948
беспокоиться,побеспокоиться	1096	1	не меньше чем женщина	ADV	степень	42983
беспокоиться,побеспокоиться	1096	1	больше	ADV	степень	42994
бить	1101	1	потом	ADV	время	135487
бить	1106	1	в огороде	в + Sloc	место	135545
бить	1112	1	В конце съемок	в + Sloc	время	135510
бить	1118	1	больно	ADV	результат	135481
бить	1123	1	сильно	ADV	степень	135482
бить	1123	1	в основном	в + Sloc	точность	135506
бить	1134	1	по-прежнему	ADV	узуальность	135471
бить	1139	1	из которого	из + Sgen	источник	135536
бить	1140	1	у нас, как и везде,	у + Sgen	место	135453
бить,бить,бить	11991	1	не на полу, а на высоченной лестнице, украшенной ракушками	на + Sloc 	место	135452
бить,бить,бить,пробить,пробить,пробить	1126	1	об рельс у штабного барака	об + Sacc	NULL	138837
бить,бить,пробить,пробить	1126	1	По ту сторону Фонтанки	по + Sdat	место	138801
бить,бить,пробить,пробить	12736	1	так	ADV	способ	138817
бить,побить	1098	1	с оттяжкой	с + Sins	образ действия	135458
бить,побить	1098	1	но не до смерти	до + Sgen	предел	135505
бить,побить	1098	1	сами	APRO	самостоятельность	135528
бить,побить	1099	1	сильнее всех	ADV	интенсивность	135459
бить,побить	1099	1	иногда	ADV	узуальность	135469
бить,побить	1099	1	косвенно	ADV	образ действия	135480
бить,побить	1099	1	не раз	Sacc	узуальность	135531
бить,пробивать,пробить	12730	1	в тридцать втором году , когда мяч , попав в штангу , отскочил и добивал его в сетку кто-то другой	в + Sloc	время	138790
бить,пробить	1122	1	в критических ситуациях	в + Sloc	время	135485
бить,пробить	1127	1	на похоронах	на + Sloc 	NULL	135517
бить,пробить	1128	1	так же	ADV	способ	135513
бить,пробить	1130	1	В столовой	в + Sloc	место	138770
бить,пробить	1130	1	В буфете	в + Sloc	место	138799
бить,пробить	1130	1	давно	ADV	время	138811
бить,пробить	12512	1	хотя бы не хуже Бэкхема	ADV	оценка	135493
бить,пробить	12512	1	как	NULL	NULL	135514
благодарить,благодарить,поблагодарить,поблагодарить	1164	1	С каким же усердием и с какими чувствами душевными	с + Sins	эмоция	36983
благодарить,благодарить,поблагодарить,поблагодарить	1164	1	после оглашения вердикта	после + Sgen	предшествующая ситуация	37037
благодарить,поблагодарить	1163	1	бесконечно	ADV	степень	37007
благодарить,поблагодарить	1164	1	каждыи день	Sacc	узуальность	36989
благодарить,поблагодарить	1164	1	в ложе « А »( второй по значимости )	в + Sloc	место	36993
благодарить,поблагодарить	1164	2	Как	ADV	способ	37010
благодарить,поблагодарить	1164	1	Сердечно	ADV	интенсивность	37039
благодарить,поблагодарить	1164	2	особенно	ADV	степень	37050
благодарить,поблагодарить	1164	1	молча	ADV	звук	37054
благодарить,поблагодарить	1167	2	как	ADV	причина	37034
благодарить,поблагодарить	13319	2	лично	ADV	аспект	36981
благодарить,поблагодарить	13319	1	Всё	ADV	узуальность	36985
благодарить,поблагодарить	13319	1	очень	ADV	степень	37035
благодарить,поблагодарить	13319	1	Вседушевно	ADV	эмоция	37040
благодарить,поблагодарить	13320	1	Сердечно	ADV	интенсивность	36982
благодарить,поблагодарить	17176	1	серьёзно и вежливо , с совсем особенной , выработанной тысячелетьями восточной грацией	ADV	способ	37003
благодарить,поблагодарить	17179	1	бесконечно	ADV	степень	37045
