ConstrIndex	ExIndex	PlaceC	Phrase	Form	Role	Type	KeyLexemes
1003	41852	1	можно	PRAEDIC	возможность	Control	арендовать
1003	41856	1	в котором	в + Sloc	место	Circum	арендовать
1004	41785	1	лишь	PART	ограничение	Modal	арендовать
1004	41817	1	До перезаключения соглашения	до + Sgen	длительность - предел	Circum	арендовать
1004	41820	1	тогда	ADV	время	Circum	арендовать
1004	41833	1	на три часа в неделю	на + Sacc	срок	Circum	арендовать
1005	41806	1	понятно, что	PRAEDIC	дискурс	Control	арендовать
1005	41839	1	через Иваныча-старшего	через + Sacc	способ	Circum	арендовать
1006	36609	1	Для выступлений американцев	для + Sgen	цель	Circum	арендовать
1006	41796	1	сразу	ADV	время наступления	Circum	арендовать
1006	41826	1	полностью	ADV	охват	Circum	арендовать
16371	41792	1	У «Сити Класс»	у + Sgen	контрагент	Circum	арендовать
16371	41810	1	чаще	ADV	частота	Circum	арендовать
16371	41824	2	на том же заводе	на + Sloc 	место	Circum	арендовать
16371	41847	1	в прошлом году	в + Sloc	время	Circum	арендовать
1003	36602	1	12 августа	Sgen	время	Circum	арендовать,арендовать
1003	41803	1	в пик деловой активности	в + Sacc	причина	Circum	арендовать,арендовать
1003	41812	1	только	PART	ограничит.	Modal	арендовать,арендовать
1003	41843	1	раз в неделю	Sacc	узуальность	Circum	арендовать,арендовать
1003	41850	1	бы	PART	условное наклонение	Gram	арендовать,арендовать
1004	41795	1	в течение многих лет	в + течение + Sgen	длительность	Circum	арендовать,арендовать
1005	41840	1	Разместившись в комфортабельном отеле, которому фантазия архитектора придала причудливую форму огромного океанского лайнера	Vger	предшествующая ситуация	Circum	арендовать,арендовать
16371	41782	1	поэтому	ADV	мотивировка	Circum	арендовать,арендовать
1003	36594	1	сможет	Vfut	возможность	Control	арендовать,арендовать,арендовать
1003	36605	1	в общем дворе	в + Sloc	место	Circum	арендовать,арендовать,арендовать
1003	41801	1	были	V	прош.	Gram	арендовать,арендовать,арендовать
1003	41816	1	в агентстве Хертца	в + Sloc	место	Circum	арендовать,арендовать,арендовать
1006	36599	1	в США	в + Sloc	место	Circum	арендовать,арендовать,арендовать,арендовать
11877	36619	1	средь бела дня	среди + Sgen	время	Circum	арестовать
11877	36623	1	в сорок четвёртом году	в + Sloc	время	Circum	арестовать
1007	36617	1	В общем	в + Sloc	дискурс	Modal	арестовать,арестовывать
1007	36621	1	тотчас вслед за этим	ADV	последовательность	Circum	арестовать,арестовывать
1007	36628	1	тут же	ADV	время наступления	Circum	арестовать,арестовывать
1007	36629	1	Будто	PART	точность	Modal	арестовать,арестовывать
1008	36613	1	во-первых	PARENTH	дискурс	Modal	арестовать,арестовывать
1013	41947	1	под предельно низкий процент	под + Sacc	образ действия	Circum	ассигновать
1013	41958	1	щедро	ADV	охват	Circum	ассигновать
1014	41942	1	Из бюджета Пентагона на 2005 финансовый год, равного 447 млрд долларов,	из + Sgen	источник	Circum	ассигновать
1014	41943	1	в 2005 финансовом году (начинается 1 октября)	в + Sloc	время	Circum	ассигновать
1014	41944	1	из этой суммы	из + Sgen	множество	Circum	ассигновать
1014	41945	1	в следующем году	в + Sloc	время	Circum	ассигновать
1014	41950	1	просто	PART		Modal	ассигновать
1014	41954	1	И	PART	усиление	Modal	ассигновать
1014	41951	1	в рамках военной помощи	в + рамках + Sgen	фоновая ситуация	Circum	ассигновать,ассигновать
1014	41960	1	мне	Sdat	конечный посессор	Circum	ассигновать,ассигновать
1014	41949	1	для поддержания конкурентоспособности в условиях растущей интернационализации деревообрабатывающей отрасли	для + Sgen	цель	Circum	ассигновать,ассигновать,ассигновать
1016	36685	1	уже	ADV	усиление	Modal	ассоциировать
1016	42683	1	в своей рекламе	в + Sloc	место	Circum	ассоциировать
1016	42709	1	специфически	ADV	образ действия	Circum	ассоциировать
11711	36686	1	в приконтактовых участках родингитов	в + Sloc	место	Circum	ассоциировать
1016	36684	1	непосредственно	ADV	непосредственность	Circum	ассоциировать,ассоциировать
1016	42745	1	привычно	ADV	узуальность	Circum	ассоциировать,ассоциировать
1018	36695	1	привыкший	V		Control	баловать
1018	36697	1	безмерно	ADV	степень	Circum	баловать
1018	36701	1	не приходится	Vimpers	необходимость	Control	баловать
1018	36705	1	без меры	без + Sgen	степень	Circum	баловать
1018	36707	1	со страстью	с + Sins	образ действия	Circum	баловать
1018	36712	1	не	PART	отрицание	Modal	баловать
1018	36714	1	на мою голову	на + Sacc	оценка последствий	Circum	баловать
1018	36717	1	Стыдно	PRAEDIC	эмоция	Modal	баловать
1020	36719	1	недолго	ADV	длительность	Circum	баловать
1021	36706	1	не	PART	отрицание	Modal	баловать
1021	36708	1	как никого больше	как + Sacc	степень	Circum	баловать
1021	36718	1	не	PART	отрицание	Modal	баловать
11837	36720	1	Не	PART	отрицание	Modal	баловать
11838	36692	1	пусть	PART		Modal	баловать
17725	36709	1	был недосуг	PRAEDIC	достижение цели	Modal	баловать
1018	36702	1	со всем пылом нерастраченной материнской любви и нежности	с + Sins	образ действия	Circum	баловать,баловать
1018	36713	1	не	PART	отрицание	Modal	баловать,баловать
1019	36688	1	не	PART	отрицание	Modal	баловать,баловать
1020	36696	1	В этом году	в + Sloc	время	Circum	баловать,баловать
1021	36698	1	не	PART	отрицание	Modal	баловать,баловать
1021	36715	1	не	PART	отрицание	Modal	баловать,баловать
11837	36689	1	не	PART	отрицание	Modal	баловать,баловать
1018	36704	1	Нигде в мире как в России	в + Sloc	место	Circum	баловать,баловать,баловать
1018	36710	1	слишком	ADV	степень	Circum	баловать,баловать,баловать
18446	36694	1	не	PART	отрицание	Modal	баловать,баловать,баловать
15568	91795	1	Что	ADV	причина	Circum	банный,лист,приставать,пристать
16325	92598	1	Мог	V	возможность	Control	бег,бега,пуститься
1033	135353	1	цепляясь за ветки	Vger	сопутствующая ситуация	Circum	бежать
1033	135359	1	рядом, задыхаясь, перегоняя друг друга	ADV	место	Circum	бежать
1033	135375	1	хотел	V	воля	Control	бежать
1033	135377	1	хотел	V	воля	Control	бежать
1033	135378	1	будет	Vfut	буд.	Gram	бежать
1033	135386	1	кинулся	V	движение	Control	бежать
1033	135388	1	переваливаясь на очень высоких каблуках	Vger	образ действия	Circum	бежать
1033	135389	1	первый	A	депиктив	Circum	бежать
1033	135414	1	себя не помня	Vger	сопутствующая ситуация	Circum	бежать
1033	135419	1	бросается	Vpraes	достижение цели	Control	бежать
1033	135424	1	Хорошо	ADV	оценка	Circum	бежать
1033	135446	1	быстро	ADV	скорость	Circum	бежать
1035	135352	1	нарочно	ADV	цель	Circum	бежать
1035	135356	1	бросился	V	достижение цели	Control	бежать
1035	135367	1	будут	Vfut	буд.	Gram	бежать
1035	135371	1	вдруг взвизгнув	Vger	предшествующая ситуация	Circum	бежать
1035	135372	1	надо	PRAEDIC	необходимость	Control	бежать
1035	135376	1	сейчас	ADV	время	Circum	бежать
1035	135380	1	в обед	в + Sacc	время	Circum	бежать
1035	135382	1	лучше	PART		Modal	бежать
1035	135442	1	почти что	ADV	точность	Circum	бежать
1035	135443	1	было	V	прош.	Gram	бежать
1036	135392	1	как очумевшая овца	как + Sx	сравнение	Circum	бежать
1036	135407	1	ещё	ADV		Modal	бежать
1036	135417	1	кинулся	V	достижение цели	Control	бежать
1040	135379	1	не	PART	отрицание	Modal	бежать
1041	135360	1	успешно	ADV	результат	Circum	бежать
1042	135410	1	прибрав к рукам все сокровища хозяина	Vger	предшествующая ситуация	Circum	бежать
1043	135390	1	без оглядки.	без + Sgen	скорость	Circum	бежать
1043	135422	1	решился	V	план	Control	бежать
1049	135432	1	в прозрачном облачке	в + Sloc	место	Circum	бежать
11956	53300	1	даже	PART	фокус	Modal	бежать
12834	135395	1	дальше	ADV	дискурс	Circum	бежать
12835	135406	1	снова	ADV	узуальность	Circum	бежать
12835	135415	1	подобно ей	подобно + Sdat	сравнение	Circum	бежать
12839	135434	1	должны	Abrev	внешняя необходимость	Control	бежать
12840	135436	1	поскорее	ADV	скорость	Circum	бежать
18565	135411	1	как можно быстрее и дальше	ADV	скорость	Circum	бежать
1033	135370	1	следом	ADV		Circum	бежать,бежать
1033	135399	1	уже	ADV		Modal	бежать,бежать
1035	135365	1	изо всех	из + Sgen	скорость	Circum	бежать,бежать
12842	135400	1	из палаток	из + Sgen	начальная точка	Circum	бежать,бежать
17376	83624	1	тут	ADV	дискурс	Circum	белка,как,колесо,крутиться
17376	83677	1	месяцами	Sins	длительность	Circum	белка,как,колесо,крутиться
1064	43392	1	где	ADV	место	Circum	беречь,сберечь
1064	106433	1	в ней	в + Sloc	место	Circum	беречь,сберечь
1064	106437	1	-то	PART		Modal	беречь,сберечь
1064	106438	1	свято	ADV	степень	Circum	беречь,сберечь
1064	106440	1	смолоду	ADV	время - предел	Circum	беречь,сберечь
1064	106441	1	натужно	ADV	образ действия	Circum	беречь,сберечь
1064	106445	1	надо	PRAEDIC	необходимость	Control	беречь,сберечь
1064	106450	1	весьма	ADV	степень	Circum	беречь,сберечь
1064	106452	1	как сокровище	как + Sx	сравнение	Circum	беречь,сберечь
1064	106459	1	надо	PRAEDIC	необходимость	Control	беречь,сберечь
1064	106469	1	Что ж	PART	причина	Modal	беречь,сберечь
1067	106435	1	Давайте	PART	побудит.	Modal	беречь,уберечь
1067	106439	1	Как зеницу ока	как + Sx	сравнение	Circum	беречь,уберечь
1067	106473	1	как драгоценность	как + Sx	сравнение	Circum	беречь,уберечь
1067	106476	1	Надо	PRAEDIC	необходимость	Control	беречь,уберечь
1069	36726	1	Ну	INTJ		Modal	беречься,беречься,поберечься,поберечься
1069	36733	1	теперь	ADVPRO	время	Circum	беречься,беречься,поберечься,поберечься
1069	36735	1	Но	CONJ	противопоставление	Modal	беречься,беречься,поберечься,поберечься
1069	43304	1	Тогда	ADV	время	Circum	беречься,беречься,поберечься,поберечься
1069	43316	1	не очень	ADV	степень	Circum	беречься,беречься,поберечься,поберечься
1069	43335	1	б	PART	сослаг.	Gram	беречься,беречься,поберечься,поберечься
1069	43375	1	Эй	INTJ		Modal	беречься,беречься,поберечься,поберечься
1069	43376	1	Ах так	PARENTH	противопоставление	Modal	беречься,беречься,поберечься,поберечься
1069	43384	1	год	Sacc	длительность	Circum	беречься,беречься,поберечься,поберечься
1069	36731	1	Как ни	PART	отрицание	Modal	беречься,поберечься
1069	36734	1	не	PART	отрицание	Modal	беречься,поберечься
1069	43315	1	не	PART	отрицание	Modal	беречься,поберечься
1069	43322	1	не	PART	отрицание	Modal	беречься,поберечься
1069	43323	1	ночами	Sins	время	Circum	беречься,поберечься
1069	43324	1	Ну	INTJ		Modal	беречься,поберечься
1069	43329	1	как может	как + V	степень	Circum	беречься,поберечься
1069	43333	1	тогда	ADV	время	Circum	беречься,поберечься
1069	43336	1	как-то	ADV	степень	Circum	беречься,поберечься
1069	43340	1	только	PART	ограничит.	Modal	беречься,поберечься
1069	43346	1	в автомобиле	в + Sloc	место	Circum	беречься,поберечься
1069	43347	1	тогда	ADV	время	Circum	беречься,поберечься
1069	43366	1	Чего	ADV	причина	Circum	беречься,поберечься
1069	43369	1	И	PART	усиление	Modal	беречься,поберечься
1069	43370	1	мол	PART	цитация	Modal	беречься,поберечься
1069	43372	1	Ведь	PART	дискурс	Modal	беречься,поберечься
1069	43379	1	мол	PART	цитация	Modal	беречься,поберечься
1069	43389	1	вот	PART	дискурс	Modal	беречься,поберечься
1069	43390	1	А	CONJ		Modal	беречься,поберечься
1069	43393	1	о-о-ой	INTJ		Modal	беречься,поберечься
1070	36743	1	как чёрт ладана	как + Sx	сравнение	Circum	беречься,поберечься
1070	43344	1	смолоду	ADV	время - предел	Circum	беречься,поберечься
11654	43358	1	Пусть	PART	побудит.	Modal	беречься,поберечься
11658	43361	1	не	PART	отрицание	Modal	беречься,поберечься
11650	36760	1	неторопливо	ADV	скорость	Circum	беседовать
11650	36770	1	отнюдь не	PART	отрицание	Modal	беседовать
11650	36815	1	регулярно	ADV	частота	Circum	беседовать
11650	36816	1	в кулуарах конференции	в + Sloc	место	Circum	беседовать
11650	40640	1	тут	ADVPRO	дискурс	Circum	беседовать
11650	40647	1	именно	PART	усиление	Modal	беседовать
11650	40648	1	неоднократно	ADV	частота	Circum	беседовать
11652	40625	1	час	Sacc	длительность	Circum	беседовать
11650	36757	1	чаще всего	ADV	частота	Circum	беседовать,беседовать
11650	36777	1	Сегодня	ADV	время	Circum	беседовать,беседовать
11650	40628	1	негромко	ADV	звук	Circum	беседовать,беседовать
1072	36768	1	бы	PART	сослагат.	Modal	беседовать,беседовать,беседовать,беседовать,беседовать,побеседовать,побеседовать,побеседовать,побеседовать,побеседовать
1071	40622	1	бы	PART	сослаг.	Gram	беседовать,беседовать,беседовать,беседовать,побеседовать,побеседовать,побеседовать,побеседовать
1071	40626	1	на лестнице	на + Sloc 	место	Circum	беседовать,беседовать,беседовать,беседовать,побеседовать,побеседовать,побеседовать,побеседовать
1072	40632	1	свободно	ADV	образ действия	Circum	беседовать,беседовать,беседовать,побеседовать,побеседовать,побеседовать
1071	36796	1	около полудня	около + Sgen	время	Circum	беседовать,беседовать,побеседовать,побеседовать
1071	36800	1	Сейчас	ADV	время	Circum	беседовать,беседовать,побеседовать,побеседовать
1072	36748	1	подолгу	ADV	длительность	Circum	беседовать,беседовать,побеседовать,побеседовать
1072	36759	1	в темнице	в + Sloc	место	Circum	беседовать,беседовать,побеседовать,побеседовать
1072	36786	1	мысленно	ADV	образ действия	Circum	беседовать,беседовать,побеседовать,побеседовать
1072	36794	1	долго	ADV	длительность	Circum	беседовать,беседовать,побеседовать,побеседовать
1072	40608	1	Лет пять назад	Sacc + назад	время	Circum	беседовать,беседовать,побеседовать,побеседовать
1072	40617	1	тоже	PART	тождество	Modal	беседовать,беседовать,побеседовать,побеседовать
1072	40620	1	бы	PART	сослаг.	Gram	беседовать,беседовать,побеседовать,побеседовать
1072	40637	1	вчера	ADV	время	Circum	беседовать,беседовать,побеседовать,побеседовать
1072	40641	1	мило	ADV	образ действия	Circum	беседовать,беседовать,побеседовать,побеседовать
1073	36813	1	из душевного, школьного знания	из + Sgen	источник	Circum	беседовать,беседовать,побеседовать,побеседовать
1071	36745	1	оживлённо	ADV	образ действия	Circum	беседовать,побеседовать
1071	36762	1	Под лавкой	под + Sins	место	Circum	беседовать,побеседовать
1071	36776	1	не то чтобы	PART	отрицание	Modal	беседовать,побеседовать
1071	36783	1	сам	APRO	самостоятельность	Circum	беседовать,побеседовать
1071	36792	1	с притворным интересом	с + Sins	образ действия	Circum	беседовать,побеседовать
1071	40616	1	не	PART	отрицание	Modal	беседовать,побеседовать
1071	40621	1	у подоконного столика, на котором топорщилась большая измятая газета с растерзанной рыбиной и стояла, покачивая жидкостью, полупустая водочная бутылка о видом председателя, руководящего беседой.	у + Sgen	место	Circum	беседовать,побеседовать
1071	40633	1	в таком тоне	в + Sloc	оценка	Circum	беседовать,побеседовать
1071	40638	1	негромко	ADV	звук	Circum	беседовать,побеседовать
1071	40643	1	Очень оживленно	ADV	образ действия	Circum	беседовать,побеседовать
1071	40646	1	подолгу	ADV	длительность	Circum	беседовать,побеседовать
1072	36747	1	именно	PART	усиление	Modal	беседовать,побеседовать
1072	36755	1	в котором	в + Sloc	место	Circum	беседовать,побеседовать
1072	36766	1	громко	ADV	звук	Circum	беседовать,побеседовать
1072	36767	1	чинно	ADV	образ действия	Circum	беседовать,побеседовать
1072	36772	1	долго	ADV	длительность	Circum	беседовать,побеседовать
1072	36779	1	любезно	ADV	образ действия	Circum	беседовать,побеседовать
1072	36780	1	сейчас	ADV	время	Circum	беседовать,побеседовать
1072	36782	1	просто	PRAEDIC	трудность	Control	беседовать,побеседовать
1072	36791	1	Дважды	Sacc	частота	Circum	беседовать,побеседовать
1072	36793	1	самой	APRO	самостоятельность	Circum	беседовать,побеседовать
1072	36798	1	уныло	ADV	оценка	Circum	беседовать,побеседовать
1072	36799	1	мысленно	ADV	образ действия	Circum	беседовать,побеседовать
1072	36801	1	И	PART	усиление	Modal	беседовать,побеседовать
1072	36802	1	на ты	на + Sacc	образ действия	Circum	беседовать,побеседовать
1072	36804	1	иногда	ADV	узуальность	Circum	беседовать,побеседовать
1072	36812	1	пусть и заочно	ADV	образ действия	Circum	беседовать,побеседовать
1072	36814	1	где	ADV	место	Circum	беседовать,побеседовать
1072	40611	1	Иногда	ADV	узуальность	Circum	беседовать,побеседовать
1072	40613	1	долго	ADV	длительность	Circum	беседовать,побеседовать
1072	40615	1	Снисходительно	ADV	образ действия	Circum	беседовать,побеседовать
1072	40630	1	Долго	ADV	длительность	Circum	беседовать,побеседовать
1072	40639	1	долго и обстоятельно	ADV	длительность	Circum	беседовать,побеседовать
1073	36756	1	Даже	ADV	усиление	Modal	беседовать,побеседовать
1073	36788	1	просто	PART		Modal	беседовать,побеседовать
1073	40624	1	иногда	ADV	узуальность	Circum	беседовать,побеседовать
1073	40649	1	только	PART	ограничит.	Modal	беседовать,побеседовать
11651	36754	1	Каким-то непонятным образом	Sins	образ действия	Circum	беседовать,себя
11651	40634	1	тихо	ADV	звук	Circum	беседовать,себя
11672	43423	1	и	PART	усиление	Modal	бесить
11672	43426	1	реально	ADV	степень	Circum	бесить
11672	43427	1	Просто	PART	усиление	Modal	бесить
11672	43431	2	в таковом качестве	в + Sloc	образ действия	Circum	бесить
11672	43455	1	прямо	ADV	непосредственность	Circum	бесить
11683	36830	1	и	PART	усиление	Modal	бесить
16236	43420	1	гак	ADV	степень	Circum	бесить,бесить
1074	43452	1	тогда	ADV	время	Circum	бесить,бесить,бесить,взбесить,взбесить,взбесить
1074	36821	1	Вот почему	ADV	мотивировка	Circum	бесить,бесить,взбесить,взбесить
1074	36827	1	больше всего	ADV	степень	Circum	бесить,бесить,взбесить,взбесить
1074	43424	1	наверно	PARENTH	точность	Modal	бесить,бесить,взбесить,взбесить
1074	43428	1	просто	PART	усиление	Modal	бесить,бесить,взбесить,взбесить
1074	43432	1	порой	Sins	узуальность	Circum	бесить,бесить,взбесить,взбесить
1074	43433	1	просто	PART	усиление	Modal	бесить,бесить,взбесить,взбесить
1074	43435	1	действительно	ADV	точность	Circum	бесить,бесить,взбесить,взбесить
1074	43450	1	как	ADV	степень	Circum	бесить,бесить,взбесить,взбесить
1074	43460	1	теперь	ADVPRO	время	Circum	бесить,бесить,взбесить,взбесить
1074	43464	1	Иногда	ADV	узуальность	Circum	бесить,бесить,взбесить,взбесить
1074	43466	1	уже	ADV		Modal	бесить,бесить,взбесить,взбесить
1074	43474	1	больше всего	ADV	степень	Circum	бесить,бесить,взбесить,взбесить
1074	43805	1	Так что	CONJ	причина	Circum	бесить,бесить,взбесить,взбесить
1074	43809	1	В сорокалетних богатых мужчинах	в + Sloc	сфера	Circum	бесить,бесить,взбесить,взбесить
1074	36818	1	начинало	V	фазовый	Control	бесить,взбесить
1074	36824	1	Поначалу	ADV	фаза	Circum	бесить,взбесить
1074	36828	1	не	PART	отрицание	Modal	бесить,взбесить
1074	43406	1	больше всего	ADV	степень	Circum	бесить,взбесить
1074	43414	1	не	PART	отрицание	Modal	бесить,взбесить
1074	43415	1	Более же всего	ADV	степень	Circum	бесить,взбесить
1074	43416	1	просто	PART	усиление	Modal	бесить,взбесить
1074	43418	1	Как же	ADV	причина	Circum	бесить,взбесить
1074	43419	1	больше всего	ADV	степень	Circum	бесить,взбесить
1074	43425	1	особенно	ADV	степень	Circum	бесить,взбесить
1074	43430	1	просто	PART	усиление	Modal	бесить,взбесить
1074	43434	1	перестает	Vpraes	фазовый	Control	бесить,взбесить
1074	43440	1	Сейчас	ADV	время	Circum	бесить,взбесить
1074	43447	1	Наоборот	PARENTH	противопоставление	Modal	бесить,взбесить
1074	43449	1	буквально	ADV	точность	Circum	бесить,взбесить
1074	43457	1	Особенно	ADV	степень	Circum	бесить,взбесить
1074	43458	1	бы	PART	сослаг.	Gram	бесить,взбесить
1074	43471	1	откровенно говоря	PARENTH	дискурс	Modal	бесить,взбесить
1074	43473	1	так	ADV	степень	Circum	бесить,взбесить
1074	43475	1	Как	ADV	степень	Circum	бесить,взбесить
1074	43476	1	иногда	ADV	узуальность	Circum	бесить,взбесить
1074	43806	1	так же сильно	ADV	интенсивность	Circum	бесить,взбесить
1074	43808	1	не	PART	отрицание	Modal	бесить,взбесить
1074	43810	1	просто	PART		Modal	бесить,взбесить
1075	43429	1	тоже	PART	тождество	Modal	бесить,взбесить
11642	36843	1	и вправду	PARENTH	точность	Modal	беситься
11642	41633	1	НЕ	PART	отрицание	Modal	беситься
11642	41656	1	Может	PARENTH	предположение	Modal	беситься
